place_id,type,name,lat,lng,author_name,rating,text,opening_hours,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
ChIJyRrZSU9TUkYRkvFa8yOInEg,restaurant,Restaurant Menu'en,55.66175819999999,12.598062,Helder Augusto,5,"The 2 person crew (assuming they are a couple) were amazing, despite the language difference they made a big effort to communicate. The food was lovely and delicious, it was a little hidden but maybe that's what made it special.","{'Monday': '11:30AM - 02:00PM', 'Tuesday': '11:30AM - 02:00PM', 'Wednesday': '11:30AM - 08:00PM', 'Thursday': '11:30AM - 08:00PM', 'Friday': '11:30AM - 02:00PM', 'Saturday': '11:30AM - 08:00PM', 'Sunday': '11:30AM - 02:00PM'}",11:30AM - 02:00PM,11:30AM - 02:00PM,11:30AM - 08:00PM,11:30AM - 08:00PM,11:30AM - 02:00PM,11:30AM - 08:00PM,11:30AM - 02:00PM
ChIJyRrZSU9TUkYRkvFa8yOInEg,restaurant,Restaurant Menu'en,55.66175819999999,12.598062,Michail Helgesson,5,Really pleasant surprise. Exactly the type of restaurant I have been searching for in Copenhagen. Quality danish food in generous proportions. Laidback old school atmosphere. It’s sad these sorts of places are getting rare in Copenhagen but I’m happy I found this place!,"{'Monday': '11:30AM - 02:00PM', 'Tuesday': '11:30AM - 02:00PM', 'Wednesday': '11:30AM - 08:00PM', 'Thursday': '11:30AM - 08:00PM', 'Friday': '11:30AM - 02:00PM', 'Saturday': '11:30AM - 08:00PM', 'Sunday': '11:30AM - 02:00PM'}",11:30AM - 02:00PM,11:30AM - 02:00PM,11:30AM - 08:00PM,11:30AM - 08:00PM,11:30AM - 02:00PM,11:30AM - 08:00PM,11:30AM - 02:00PM
ChIJyRrZSU9TUkYRkvFa8yOInEg,restaurant,Restaurant Menu'en,55.66175819999999,12.598062,Peter Larsen,4,"My wife and I have been to ""Restaurant Menuen"" twice. Both with family members showing us the traditional Danish menu in a great atmosphere. The food has been top notch and with some help, even a non Danish speaking person can understand the menu. Traditional eats carried out with passion.

It's hard to find, and even harder to find parking. If you really want to go, take the bus :)","{'Monday': '11:30AM - 02:00PM', 'Tuesday': '11:30AM - 02:00PM', 'Wednesday': '11:30AM - 08:00PM', 'Thursday': '11:30AM - 08:00PM', 'Friday': '11:30AM - 02:00PM', 'Saturday': '11:30AM - 08:00PM', 'Sunday': '11:30AM - 02:00PM'}",11:30AM - 02:00PM,11:30AM - 02:00PM,11:30AM - 08:00PM,11:30AM - 08:00PM,11:30AM - 02:00PM,11:30AM - 08:00PM,11:30AM - 02:00PM
ChIJyRrZSU9TUkYRkvFa8yOInEg,restaurant,Restaurant Menu'en,55.66175819999999,12.598062,Kasper Larsen,5,"Menuen is must visit.
It can offend be har du find classic danish food in Copenhagen, now you don’t have to look anymore. This is classic danish food at it’s best. There is no way to describe this food better than “perfection.”
While you are eating one of the best meals you have ever had in your life, you can enjoy the interior of an old high class home.
You can feel the “hygge” everywhere around you, and it is not diminished when the staff arrives to take your order and you find out that this restaurant is actually driven by a handful of  that have lived the last 50 years perfecting the epic meal you are about to have, and they are not shy to make conversation if you are up for it.
Danish food and hospitality at its best!

Ohh and did I mention the large portions? I’m sure I did!","{'Monday': '11:30AM - 02:00PM', 'Tuesday': '11:30AM - 02:00PM', 'Wednesday': '11:30AM - 08:00PM', 'Thursday': '11:30AM - 08:00PM', 'Friday': '11:30AM - 02:00PM', 'Saturday': '11:30AM - 08:00PM', 'Sunday': '11:30AM - 02:00PM'}",11:30AM - 02:00PM,11:30AM - 02:00PM,11:30AM - 08:00PM,11:30AM - 08:00PM,11:30AM - 02:00PM,11:30AM - 08:00PM,11:30AM - 02:00PM
ChIJyRrZSU9TUkYRkvFa8yOInEg,restaurant,Restaurant Menu'en,55.66175819999999,12.598062,Christian Ankerstjerne,4,"This restaurant has a good selection of good-quality, no-nonsense, traditional Danish food. The decor is old-fashioned, which matches the concept well, and the service is very courteous.","{'Monday': '11:30AM - 02:00PM', 'Tuesday': '11:30AM - 02:00PM', 'Wednesday': '11:30AM - 08:00PM', 'Thursday': '11:30AM - 08:00PM', 'Friday': '11:30AM - 02:00PM', 'Saturday': '11:30AM - 08:00PM', 'Sunday': '11:30AM - 02:00PM'}",11:30AM - 02:00PM,11:30AM - 02:00PM,11:30AM - 08:00PM,11:30AM - 08:00PM,11:30AM - 02:00PM,11:30AM - 08:00PM,11:30AM - 02:00PM
ChIJpafRikhTUkYRSMQ8s795or4,restaurant,Kareten,55.6647894,12.5994695,Tomas oconnell (Road Warrior),4,"Very cozy and local.   A great selection of beers, local and regional.  The menu was limited this day.  But the portions were more than pleasing.  Great appetizers and steaks.  Local favorites were outstanding.  The service was very pleasing and attentive.  The bartender was helpful and ver witty.","{'Wednesday': '05:00PM - 10:00PM', 'Thursday': '05:00PM - 10:00PM', 'Friday': '05:00PM - 10:00PM', 'Saturday': '05:00PM - 11:00PM', 'Sunday': '05:00PM - 11:00PM'}",,,05:00PM - 10:00PM,05:00PM - 10:00PM,05:00PM - 10:00PM,05:00PM - 11:00PM,05:00PM - 11:00PM
ChIJpafRikhTUkYRSMQ8s795or4,restaurant,Kareten,55.6647894,12.5994695,Haynes Cheung,5,"The atmosphere is cosy and homey. We enjoyed the danish starter and desert, tho the main didn’t leave much impression to us. I do really appreciate the service and everything this restaurant has to offer. Great with friends or family. Recommend if you’re around.","{'Wednesday': '05:00PM - 10:00PM', 'Thursday': '05:00PM - 10:00PM', 'Friday': '05:00PM - 10:00PM', 'Saturday': '05:00PM - 11:00PM', 'Sunday': '05:00PM - 11:00PM'}",,,05:00PM - 10:00PM,05:00PM - 10:00PM,05:00PM - 10:00PM,05:00PM - 11:00PM,05:00PM - 11:00PM
ChIJpafRikhTUkYRSMQ8s795or4,restaurant,Kareten,55.6647894,12.5994695,Philip Kincade,4,"Warm, friendly place to enjoy traditional Danish fare. Carefully crafted entries with mature subtle flavors. I had the local fish special and it was very good. Ditto for the pork cheeks my wife sampled. Friendly staff. Frank Sinatra soundtrack.","{'Wednesday': '05:00PM - 10:00PM', 'Thursday': '05:00PM - 10:00PM', 'Friday': '05:00PM - 10:00PM', 'Saturday': '05:00PM - 11:00PM', 'Sunday': '05:00PM - 11:00PM'}",,,05:00PM - 10:00PM,05:00PM - 10:00PM,05:00PM - 10:00PM,05:00PM - 11:00PM,05:00PM - 11:00PM
ChIJpafRikhTUkYRSMQ8s795or4,restaurant,Kareten,55.6647894,12.5994695,Liv Almestad,5,Kareten is a superb place to have partiets with many people as we had. We found the service very welcoming and over all friendly. Having a buffet for 80 guests is not an easy task but the food was Great and they managed to keep the serving table look presentable during the whole eating periode. Well done.,"{'Wednesday': '05:00PM - 10:00PM', 'Thursday': '05:00PM - 10:00PM', 'Friday': '05:00PM - 10:00PM', 'Saturday': '05:00PM - 11:00PM', 'Sunday': '05:00PM - 11:00PM'}",,,05:00PM - 10:00PM,05:00PM - 10:00PM,05:00PM - 10:00PM,05:00PM - 11:00PM,05:00PM - 11:00PM
ChIJpafRikhTUkYRSMQ8s795or4,restaurant,Kareten,55.6647894,12.5994695,Agnes Demornex,5,Amazing Danish food and great staff. Delicious beers. Great desserts. Top notch.,"{'Wednesday': '05:00PM - 10:00PM', 'Thursday': '05:00PM - 10:00PM', 'Friday': '05:00PM - 10:00PM', 'Saturday': '05:00PM - 11:00PM', 'Sunday': '05:00PM - 11:00PM'}",,,05:00PM - 10:00PM,05:00PM - 10:00PM,05:00PM - 10:00PM,05:00PM - 11:00PM,05:00PM - 11:00PM
